# Reynolds:  0.36718E+05
# Mach:  0.20334E+00
#  r/R          c/R          V (m/s)      AoA (deg)    beta (deg)   phi (deg)    Cl           Cd           s factor     Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c    Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c
#  0.51897E+00  0.17556E+00  0.10758E+02  0.69384E+01  0.20058E+02  0.12687E+02  0.10405E+01  0.45567E-01  0.10928E+00  0.10638E+02  0.17653E+04  0.49220E-02  0.23051E-02  0.72144E-03  0.79201E-01  0.54198E+00 -0.96826E+01 -0.60033E+03  0.16600E-03  0.45487E-03  0.12054E-03  0.14735E+00  0.10000E+01
#  x/c                -Cp                    delta*/c              theta/c               Cf                    BC
 0.13799559898857E+00  0.14432819448678E+01  0.28125104737708E-02  0.10229089543895E-02  0.10694343085391E-01  1
 0.14614558633716E+00  0.14326166266410E+01  0.29035106477412E-02  0.10527987672448E-02  0.10250490251961E-01  1
 0.15451052698015E+00  0.14210106151010E+01  0.30025611481196E-02  0.10836129053509E-02  0.97598939699579E-02  1
 0.16308831508836E+00  0.14085473180342E+01  0.31087565271716E-02  0.11152864796020E-02  0.92452356127058E-02  1
 0.17187679124937E+00  0.13950562277886E+01  0.32247243089507E-02  0.11480824996303E-02  0.86943485465102E-02  1
 0.18087374301120E+00  0.13798842054003E+01  0.33546009173936E-02  0.11823805796530E-02  0.80888211690027E-02  1
 0.19007690543921E+00  0.13631143090904E+01  0.34998306717890E-02  0.12182529478788E-02  0.74403503297962E-02  1
 0.19948396168636E+00  0.13447317966902E+01  0.36606728030639E-02  0.12556071650566E-02  0.67684939662170E-02  1
 0.20909254357641E+00  0.13246440470037E+01  0.38435356984943E-02  0.12947900198051E-02  0.60558644826057E-02  1
 0.21890023220013E+00  0.13019593507423E+01  0.40678954382080E-02  0.13368939998350E-02  0.52352777099331E-02  1
 0.22890455852420E+00  0.12770309169421E+01  0.43827673415478E-02  0.13839939096652E-02  0.41738567020714E-02  1
 0.23910300401284E+00  0.12521323749069E+01  0.49374596926402E-02  0.14387311242113E-02  0.25819575637682E-02  1
 0.24949300126180E+00  0.12312281131710E+01  0.57464921147667E-02  0.15025493720651E-02  0.10328221583363E-02  1
 0.26007193464468E+00  0.12173444777145E+01  0.59375663746567E-02  0.15428610422332E-02  0.93966830064214E-03  1
 0.27083714097143E+00  0.12089236920803E+01  0.60926305486320E-02  0.15744656577027E-02  0.85620858990186E-03  1
 0.28178591015877E+00  0.12038126878669E+01  0.62044540734179E-02  0.15952330122630E-02  0.77218196520001E-03  1
 0.29291548591247E+00  0.11996610748411E+01  0.62852198090465E-02  0.16079882319466E-02  0.68242384266322E-03  1
 0.30422306642118E+00  0.11956117287773E+01  0.63511555624669E-02  0.16164016841346E-02  0.58582961097506E-03  1
 0.31570580506183E+00  0.11917177282431E+01  0.64172504139844E-02  0.16232874727905E-02  0.48137959488771E-03  1
 0.32736081111621E+00  0.11885778438231E+01  0.65147994265483E-02  0.16298460834033E-02  0.33852538736679E-03 -1
 0.33918515049870E+00  0.11863390413579E+01  0.65576690434680E-02  0.16351422056864E-02  0.30291087472349E-03 -1
 0.35117584649495E+00  0.11848550538904E+01  0.65969276716184E-02  0.16406446588437E-02  0.27504828109734E-03 -1
 0.36332988051118E+00  0.11837320510695E+01  0.66350591410655E-02  0.16465689604961E-02  0.25209142791380E-03 -1
 0.37564419283416E+00  0.11827723579080E+01  0.66727023477431E-02  0.16530253841587E-02  0.23351160586431E-03 -1
 0.38811568340144E+00  0.11818564421145E+01  0.67101699533838E-02  0.16600071078464E-02  0.21867635032792E-03 -1
 0.40074121258179E+00  0.11809504320209E+01  0.67473037959402E-02  0.16673760752458E-02  0.20695134955659E-03 -1
 0.41351760196559E+00  0.11800423154835E+01  0.67834750811667E-02  0.16748801804411E-02  0.19774688805708E-03 -1
 0.42644163516494E+00  0.11791270125778E+01  0.68184522565865E-02  0.16823828446719E-02  0.19053296454885E-03 -1
 0.43951005862344E+00  0.11781937624147E+01  0.68528404033476E-02  0.16899727097774E-02  0.18485485738113E-03 -1
 0.45271958243516E+00  0.11771625346427E+01  0.68877066844334E-02  0.16978657074922E-02  0.18034230754307E-03 -1
 0.46606688117296E+00  0.11757368032015E+01  0.69242435531051E-02  0.17063191079217E-02  0.17669225575748E-03 -1
 0.47954859472556E+00  0.11722894259019E+01  0.69634122286022E-02  0.17155414356123E-02  0.17357355335806E-03 -1
 0.49316132914349E+00  0.11623573101725E+01  0.70056487683874E-02  0.17256139699162E-02  0.17048800130178E-03 -1
 0.50690165749346E+00  0.11297279265375E+01  0.70498425410540E-02  0.17362342854352E-02  0.16608304866351E-03 -1
 0.52076612072110E+00  0.10491952294674E+01  0.70915469157106E-02  0.17462709316075E-02  0.15837842942348E-03 -1
 0.53475122852174E+00  0.88118483212399E+00  0.71260605872275E-02  0.17545471423284E-02  0.14429877012303E-03 -1
 0.54885346021908E+00  0.64625265453386E+00  0.71560537060779E-02  0.17617384097096E-02  0.12533540977454E-03 -1
 0.56306926565152E+00  0.43838735908730E+00  0.50662271206997E-02  0.17721539712142E-02  0.15604801392650E-02 -1
 0.57739506606585E+00  0.34822930941567E+00  0.35024586475647E-02  0.18186970894832E-02  0.74444078289027E-02 -1
 0.59182725501823E+00  0.35801064475381E+00  0.34941234754341E-02  0.19348453858158E-02  0.87655147254428E-02 -1
 0.60636219928208E+00  0.39595239813214E+00  0.41414233160179E-02  0.21822875154708E-02  0.69907169363594E-02 -1
 0.62099623976269E+00  0.42550406720001E+00  0.86320295154304E-02  0.27857327267694E-02  0.70708762279051E-03 -1
 0.63572569241844E+00  0.43501958580215E+00  0.14915988597498E-01  0.44287954013518E-02  0.27432477541470E-03 -1
