# Reynolds:  0.30763E+05
# Mach:  0.16590E+00
#  r/R          c/R          V (m/s)      AoA (deg)    beta (deg)   phi (deg)    Cl           Cd           s factor     Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c    Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c
#  0.42474E+00  0.18029E+00  0.87771E+01  0.80394E+01  0.24086E+02  0.15309E+02  0.11786E+01  0.54374E-01  0.11507E+00  0.87275E+01  0.10135E+04  0.95801E-02  0.23414E-02  0.90255E-03  0.11676E+00  0.59710E+00 -0.76849E+01 -0.58542E+03 -0.84228E-03  0.88464E-03  0.15273E-03  0.63972E-01  0.10000E+01
#  x/c                -Cp                    delta*/c              theta/c               Cf                    BC
 0.91118731504758E-02  0.18473360021237E+01  0.79657452936949E-03  0.31739873980190E-03  0.47988491852446E-01  1
 0.11369835352910E-01  0.18841873668888E+01  0.87563498554828E-03  0.34303797907785E-03  0.42372190112607E-01  1
 0.13876679926199E-01  0.18959568113925E+01  0.96948360120338E-03  0.37130409949737E-03  0.36400131858725E-01  1
 0.16631775785591E-01  0.18908163744060E+01  0.10718327756384E-02  0.40136738994015E-03  0.31142457204397E-01  1
 0.19634429350400E-01  0.18823969088601E+01  0.11664093461831E-02  0.43126809436104E-03  0.27685604553207E-01  1
 0.22883884718605E-01  0.18800780878430E+01  0.12414141777387E-02  0.45912902642993E-03  0.26070483625552E-01  1
 0.26379323857149E-01  0.18828655251568E+01  0.13063972840478E-02  0.48555502899124E-03  0.25172748995773E-01  1
 0.30119866807873E-01  0.18825441314592E+01  0.13819663975413E-02  0.51286312436087E-03  0.23762383418138E-01  1
 0.34104571909040E-01  0.18726041400609E+01  0.14768689119234E-02  0.54228522323916E-03  0.21633209581806E-01  1
 0.38332436032394E-01  0.18575480663833E+01  0.15761649563907E-02  0.57242712116883E-03  0.19674155737050E-01  1
 0.42802394835693E-01  0.18469205323101E+01  0.16566244167254E-02  0.60088998075541E-03  0.18660636741000E-01  1
 0.47513323030650E-01  0.18427845879462E+01  0.17170026973532E-02  0.62707832267094E-03  0.18364767754318E-01  1
 0.52464034666217E-01  0.18401464558247E+01  0.17764856354943E-02  0.65267925608373E-03  0.18058113223652E-01  1
 0.57653283427148E-01  0.18348144910085E+01  0.18479363027945E-02  0.67929400165216E-03  0.17394976013707E-01  1
 0.63079762947743E-01  0.18266080334705E+01  0.19306702956710E-02  0.70712670620103E-03  0.16487307012912E-01  1
 0.68742107140729E-01  0.18165211050617E+01  0.20219991946846E-02  0.73599414115263E-03  0.15473740258992E-01  1
 0.74638890541154E-01  0.18034415672081E+01  0.21257390332624E-02  0.76633752473730E-03  0.14319799447282E-01  1
 0.80768628665251E-01  0.17860794555650E+01  0.22495906599144E-02  0.79893171489960E-03  0.12951381424276E-01  1
 0.87129778384140E-01  0.17639844935990E+01  0.23937544911222E-02  0.83364048095293E-03  0.11470273596492E-01  1
 0.93720738312309E-01  0.17406757276839E+01  0.25392494731788E-02  0.86862397264393E-03  0.10218180061584E-01  1
 0.10053984921075E+00  0.17202905222041E+01  0.26608259719818E-02  0.90183586028483E-03  0.94530414893631E-02  1
 0.10758539440467E+00  0.17031112516422E+01  0.27553716549848E-02  0.93298198282988E-03  0.90812430563731E-02  1
 0.11485560021564E+00  0.16870369993105E+01  0.28403978002908E-02  0.96328546765662E-03  0.88333152412022E-02  1
 0.12234863640812E+00  0.16705173792423E+01  0.29288835002030E-02  0.99374983349934E-03  0.85583508091639E-02  1
 0.13006261665022E+00  0.16536569906830E+01  0.30212786529772E-02  0.10244642126329E-02  0.82583073653661E-02  1
 0.13799559898857E+00  0.16368128694148E+01  0.31153360924571E-02  0.10552997867457E-02  0.79560505151233E-02  1
 0.14614558633716E+00  0.16198546870585E+01  0.32123498461103E-02  0.10864048656102E-02  0.76398947871449E-02  1
 0.15451052698015E+00  0.16025637105099E+01  0.33138865264368E-02  0.11179100657701E-02  0.73054920863537E-02  1
 0.16308831508836E+00  0.15849041197883E+01  0.34171079520505E-02  0.11495507102221E-02  0.69853970355988E-02  1
 0.17187679124937E+00  0.15671584770914E+01  0.35157769570736E-02  0.11808011010944E-02  0.67242900828649E-02  1
 0.18087374301120E+00  0.15492935300768E+01  0.36083527774074E-02  0.12115238346987E-02  0.65205516194339E-02  1
 0.19007690543921E+00  0.15305311076797E+01  0.37044092199352E-02  0.12424650790042E-02  0.63028027848170E-02  1
 0.19948396168636E+00  0.15092704417666E+01  0.38180788523113E-02  0.12747542876812E-02  0.59898387372912E-02  1
 0.20909254357641E+00  0.14846538837656E+01  0.39597604144779E-02  0.13091839864791E-02  0.55475088401177E-02  1
 0.21890023220013E+00  0.14552622589187E+01  0.41341125580476E-02  0.13459403938458E-02  0.49882017501054E-02  1
 0.22890455852420E+00  0.14203166933180E+01  0.43439028853302E-02  0.13848516405499E-02  0.43419029346734E-02  1
 0.23910300401284E+00  0.13778058039523E+01  0.45990578432565E-02  0.14259074254103E-02  0.36138850184553E-02  1
 0.24949300126180E+00  0.13294087832459E+01  0.49410144655252E-02  0.14699238023942E-02  0.27380093172197E-02  1
 0.26007193464468E+00  0.12814463116216E+01  0.55728674950061E-02  0.15188321105264E-02  0.13759023336023E-02  1
 0.27083714097143E+00  0.12432677475285E+01  0.60795606610500E-02  0.15758389359388E-02  0.73193924373680E-03 -1
 0.28178591015877E+00  0.12200481270355E+01  0.62881436091652E-02  0.16179194474970E-02  0.61732420793115E-03 -1
 0.29291548591247E+00  0.12077994414072E+01  0.65223457476078E-02  0.16642388945922E-02  0.50414301767810E-03 -1
 0.30422306642118E+00  0.12025776122423E+01  0.67449551496278E-02  0.17134136455955E-02  0.44935941005528E-03 -1
 0.31570580506183E+00  0.12001842518773E+01  0.69805284801036E-02  0.17663985097222E-02  0.40270820711591E-03 -1
 0.32736081111621E+00  0.11989928618029E+01  0.72333158641020E-02  0.18241450888269E-02  0.36225042190040E-03 -1
 0.33918515049870E+00  0.11981497253690E+01  0.75074659973640E-02  0.18875922505906E-02  0.32671320705684E-03 -1
 0.35117584649495E+00  0.11974426000934E+01  0.78047753637515E-02  0.19571079402641E-02  0.29538879323904E-03 -1
 0.36332988051118E+00  0.11967899918260E+01  0.81256478193492E-02  0.20327433181171E-02  0.26777089729871E-03 -1
