# Reynolds:  0.39043E+05
# Mach:  0.38640E+00
#  r/R          c/R          V (m/s)      AoA (deg)    beta (deg)   phi (deg)    Cl           Cd           s factor     Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c    Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c
#  0.99014E+00  0.98237E-01  0.20443E+02  0.19159E+01  0.11809E+02  0.96240E+01  0.55690E+00  0.36423E-01  0.81155E-01  0.21075E+02  0.23140E+05  0.17363E-02  0.62427E-03  0.21099E-03  0.45055E+00  0.74467E+00 -0.18152E+02 -0.21675E+04  0.15369E-02  0.28481E-03  0.11537E-03  0.84936E+00  0.93290E+00
#  x/c                -Cp                    delta*/c              theta/c               Cf                    BC
 0.20909254357641E+00 -0.27894978007651E-02  0.39579956118563E-02  0.13948164279037E-02  0.46692137278766E-02  1
 0.19948396168636E+00  0.78650683223549E-02  0.37107141906438E-02  0.13401605918139E-02  0.53689644232239E-02  1
 0.19007690543921E+00  0.16981112863723E-01  0.35031261411054E-02  0.12896447445062E-02  0.60252485149120E-02  1
 0.18087374301120E+00  0.23857998707039E-01  0.33440389138768E-02  0.12447589688479E-02  0.65302096134641E-02  1
 0.17187679124937E+00  0.29112023258657E-01  0.32248193774052E-02  0.12046121310870E-02  0.68607127010314E-02  1
 0.16308831508836E+00  0.33411791462372E-01  0.31320372711445E-02  0.11673638917118E-02  0.70459935110385E-02  1
 0.15451052698015E+00  0.37697888290026E-01  0.30504734476218E-02  0.11308994739314E-02  0.71549824140317E-02  1
 0.14614558633716E+00  0.43093612239397E-01  0.29591572210774E-02  0.10927541611365E-02  0.73242685920972E-02  1
 0.13799559898857E+00  0.50364650365464E-01  0.28386449056490E-02  0.10510863986398E-02  0.77228929340162E-02  1
 0.13006261665022E+00  0.59357657040567E-01  0.26869770276839E-02  0.10061250110045E-02  0.84466677600542E-02  1
 0.12234863640812E+00  0.68191689873620E-01  0.25262428356185E-02  0.96067145098383E-03  0.93999415431497E-02  1
 0.11485560021564E+00  0.74859223858428E-01  0.23815497814844E-02  0.91788457294563E-03  0.10361670810935E-01  1
 0.10758539440467E+00  0.78917609189003E-01  0.22622310775852E-02  0.87893330339726E-03  0.11166194913709E-01  1
 0.10053984921075E+00  0.80792548422962E-01  0.21648609195746E-02  0.84309277740084E-03  0.11764767435283E-01  1
 0.93720738312309E-01  0.82082373973976E-01  0.20777010927491E-02  0.80842584270134E-03  0.12256870745414E-01  1
 0.87129778384140E-01  0.84148915497502E-01  0.19866793463608E-02  0.77292955087001E-03  0.12847041721870E-01  1
 0.80768628665251E-01  0.87269801003681E-01  0.18851774081051E-02  0.73592958296312E-03  0.13694850294553E-01  1
 0.74638890541154E-01  0.90287618384183E-01  0.17784976469843E-02  0.69842020399848E-03  0.14778245583666E-01  1
 0.68742107140729E-01  0.91533047712463E-01  0.16775625160511E-02  0.66193371565767E-03  0.15894350758831E-01  1
