# Reynolds:  0.43027E+05
# Mach:  0.27187E+00
#  r/R          c/R          V (m/s)      AoA (deg)    beta (deg)   phi (deg)    Cl           Cd           s factor     Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c    Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c
#  0.69173E+00  0.15387E+00  0.14384E+02  0.54519E+01  0.15449E+02  0.97883E+01  0.93595E+00  0.36667E-01  0.98538E-01  0.14722E+02  0.52510E+04  0.33656E-02  0.14867E-02  0.48127E-03  0.27363E+00  0.63090E+00 -0.13020E+02 -0.12090E+04  0.68677E-03 -0.26508E-03 -0.34476E-04  0.34023E+00  0.10000E+01
#  x/c                -Cp                    delta*/c              theta/c               Cf                    BC
 0.91118731504758E-02 -0.98748704701599E+00  0.68470728138778E-03  0.30677321351549E-03  0.26613591929557E-02  1
 0.71033617488364E-02 -0.99701128270958E+00  0.41792101414681E-03  0.18689491783521E-03  0.88284966603516E-03  1
 0.53448067800247E-02 -0.97609966206382E+00  0.39173709994680E-03  0.17517152626295E-03  0.47954813649712E-02  1
 0.38366509508745E-02 -0.91512171889979E+00  0.38338914507858E-03  0.17154867409058E-03  0.13316015194943E-01  1
 0.25792739315716E-02 -0.80271642311435E+00  0.37598396051324E-03  0.16831306993446E-03  0.24549937680556E-01  1
 0.15729922600740E-02 -0.62593359910797E+00  0.36829702411882E-03  0.16507019831864E-03  0.38095870700669E-01  1
 0.81805926242545E-03 -0.37041070213707E+00  0.34585482922796E-03  0.15496409930876E-03  0.55830431570394E-01  1
 0.31466498898136E-03 -0.58309089257707E-01  0.30828123961645E-03  0.13814563766050E-03  0.79381811781905E-01  1

 0.12587233313022E-03  0.21436452710167E+00  0.30837302159865E-03  0.13704268903334E-03  0.90426013811060E-01  1
 0.31466498898136E-03  0.37997000116120E+00  0.35528910403060E-03  0.14981982849474E-03  0.75778348337842E-01  1
 0.81805926242545E-03  0.47733227757330E+00  0.44502172757236E-03  0.18000799190074E-03  0.57879052501082E-01  1
 0.15729922600740E-02  0.60206546277227E+00  0.51757806826593E-03  0.21223227635679E-03  0.54601005495919E-01  1
 0.25792739315716E-02  0.77924806866661E+00  0.54753014363453E-03  0.23117897797279E-03  0.59214480185817E-01  1
 0.38366509508745E-02  0.96659437485178E+00  0.57429505344007E-03  0.24475088892484E-03  0.61441953135960E-01  1
 0.53448067800247E-02  0.11195924483306E+01  0.61772004907010E-03  0.26047962965819E-03  0.58507455727886E-01  1
 0.71033617488364E-02  0.12262727928766E+01  0.67911106895146E-03  0.28043545263069E-03  0.52444424696228E-01  1
 0.91118731504758E-02  0.12963629321662E+01  0.75226699620098E-03  0.30417718873400E-03  0.46123555095794E-01  1
 0.11369835352910E-01  0.13495840992010E+01  0.82588360302506E-03  0.32917913782089E-03  0.41347745228376E-01  1
 0.13876679926199E-01  0.13910459473865E+01  0.89836078179977E-03  0.35455991769335E-03  0.37670437665760E-01  1
 0.16631775785591E-01  0.14228528511473E+01  0.97256865355402E-03  0.38048564895687E-03  0.34465117250458E-01  1
 0.19634429350400E-01  0.14455506504668E+01  0.10495604286580E-02  0.40709244613421E-03  0.31560660193188E-01  1
 0.22883884718605E-01  0.14621637957060E+01  0.11281829869532E-02  0.43417687240140E-03  0.29014213387818E-01  1
 0.26379323857149E-01  0.14734330452938E+01  0.12097243680125E-02  0.46190485486947E-03  0.26687361400609E-01  1
 0.30119866807873E-01  0.14784829621497E+01  0.13003274847014E-02  0.49104799916704E-03  0.24241904042148E-01  1
 0.34104571909040E-01  0.14740402232383E+01  0.14067025091283E-02  0.52245058294908E-03  0.21498712213032E-01  1
 0.38332436032394E-01  0.14615714211795E+01  0.15270081913629E-02  0.55590700064728E-03  0.18771387018205E-01  1
 0.42802394835693E-01  0.14456863286406E+01  0.16460549431652E-02  0.58967858903093E-03  0.16645354980492E-01  1
 0.47513323030650E-01  0.14330397245169E+01  0.17381794770490E-02  0.62098657281919E-03  0.15649221853180E-01  1
 0.52464034666217E-01  0.14287927814069E+01  0.17911674530457E-02  0.64812883096855E-03  0.15769420540228E-01  1
 0.57653283427148E-01  0.14317657766203E+01  0.18209010897097E-02  0.67180260208279E-03  0.16401293106024E-01  1
 0.63079762947743E-01  0.14381809401725E+01  0.18516212269824E-02  0.69427883950822E-03  0.16885814893947E-01  1
 0.68742107140729E-01  0.14436035239054E+01  0.18986614363189E-02  0.71776291573765E-03  0.16863271132497E-01  1
 0.74638890541154E-01  0.14456971043582E+01  0.19644340390315E-02  0.74314661932437E-03  0.16355664921591E-01  1
 0.80768628665251E-01  0.14450277187222E+01  0.20417618614685E-02  0.76993944733316E-03  0.15623846237059E-01  1
 0.87129778384140E-01  0.14433161542266E+01  0.21198674704768E-02  0.79695736201814E-03  0.14941938406956E-01  1
 0.93720738312309E-01  0.14424425866045E+01  0.21901157919787E-02  0.82310694520854E-03  0.14464912442987E-01  1
 0.10053984921075E+00  0.14430226219733E+01  0.22525964778399E-02  0.84826857981490E-03  0.14152961805600E-01  1
 0.10758539440467E+00  0.14434749271823E+01  0.23184154993040E-02  0.87370252770850E-03  0.13791350551085E-01  1
 0.11485560021564E+00  0.14407814522312E+01  0.24021053745967E-02  0.90127849719065E-03  0.13162031969968E-01  1
 0.12234863640812E+00  0.14331030551518E+01  0.25142227933361E-02  0.93242404561204E-03  0.12182807033940E-01  1
 0.13006261665022E+00  0.14197667486921E+01  0.26548529788983E-02  0.96710158196950E-03  0.10967626769586E-01  1
 0.13799559898857E+00  0.14036123286927E+01  0.28070028378124E-02  0.10032842900872E-02  0.98096663856660E-02  1
 0.14614558633716E+00  0.13882102521130E+01  0.29428408594481E-02  0.10381094546493E-02  0.89873160658401E-02  1
 0.15451052698015E+00  0.13759145014577E+01  0.30399422576865E-02  0.10694440111299E-02  0.86170398391072E-02  1
 0.16308831508836E+00  0.13673431371494E+01  0.30996786817245E-02  0.10971715568907E-02  0.85958486066981E-02  1
 0.17187679124937E+00  0.13604791931566E+01  0.31461246471241E-02  0.11232004995571E-02  0.86734452821894E-02  1
 0.18087374301120E+00  0.13530244475708E+01  0.32021702783756E-02  0.11497211581634E-02  0.86493926920559E-02  1
 0.19007690543921E+00  0.13439063778775E+01  0.32762343207868E-02  0.11778112088425E-02  0.84678736782277E-02  1
 0.19948396168636E+00  0.13331078865327E+01  0.33647112636502E-02  0.12073195209091E-02  0.81784114437271E-02  1
 0.20909254357641E+00  0.13212347063306E+01  0.34607373566676E-02  0.12376579990816E-02  0.78484043598620E-02  1
 0.21890023220013E+00  0.13081743382073E+01  0.35622420943686E-02  0.12686483326985E-02  0.75000800970896E-02  1
 0.22890455852420E+00  0.12935068845890E+01  0.36736122432205E-02  0.13007032954015E-02  0.71137577775194E-02  1
 0.23910300401284E+00  0.12763772455650E+01  0.37992524713723E-02  0.13342031834523E-02  0.66763756772645E-02  1
 0.24949300126180E+00  0.12569607844652E+01  0.39377936412184E-02  0.13689579889479E-02  0.62129662251947E-02  1
 0.26007193464468E+00  0.12350024670631E+01  0.40863751636999E-02  0.14045939086133E-02  0.57504881980237E-02  1
 0.27083714097143E+00  0.12100844689711E+01  0.42498565217401E-02  0.14412855422538E-02  0.52788144547155E-02  1
 0.28178591015877E+00  0.11804701847255E+01  0.44437544855196E-02  0.14798706031718E-02  0.47520206539668E-02  1
 0.29291548591247E+00  0.11460400213749E+01  0.46942680479127E-02  0.15214951854782E-02  0.41150469293080E-02  1
 0.30422306642118E+00  0.11081648069851E+01  0.50545628659532E-02  0.15670959410532E-02  0.32996820682648E-02  1
 0.31570580506183E+00  0.10705219673943E+01  0.55782944844922E-02  0.16175962046793E-02  0.23562908069016E-02  1
 0.32736081111621E+00  0.10355901586152E+01  0.58790861743788E-02  0.16631244023446E-02  0.18190271745544E-02  1
